時間戳記,server_name,time,description,賽季
2025/11/4 下午 7:14:40,獅子連斬,2025/11/5,S4開始,
2025/11/4 下午 7:49:56,熾焰龍心,2025/11/16,仙海雲舟,
2025/11/4 下午 9:40:06,熾焰龍心,2025/11/20,仙海雲舟,
2025/11/5 上午 3:38:48,碳烤蘑菇,2025/12/4,S1結束,
2025/11/5 下午 4:46:14,熾焰龍心,2025/11/17,　　【副本開啟】仙海雲舟,
2025/11/5 下午 10:11:24,熾焰龍心,2025/11/20,S3開始,
2025/11/5 下午 10:54:51,奏响风暴,2025/11/19,S2 开始,
2025/11/6 上午 12:41:23,聖光淨化,2025/9/30,S2開始,
,,,,
2025/11/6 下午 10:24:47,曙光繪卷,2025/11/8,【副本開啟】仙海雲舟,
2025/11/11 下午 10:53:35,狂花海岸,2025/7/25,開服第一天,
2025/11/12 下午 10:30:35,灭却锋刃,2025/11/18,S2 【副本開啟】仙海云舟,
2025/11/17 上午 10:22:52,戰意沸騰,2025/9/26,S2 開始,
2025/11/17 上午 10:24:59,戰意沸騰,2025/11/17,【副本開啟】仙海雲舟,
2025/11/17 上午 10:36:04,戰意沸騰,2025/12/2,S2 結束,
2025/11/17 下午 9:16:08,淨心護甲、以守為攻、生命祝福、向量反彈,2025/12/17,S3 結束（可能）,
2025/11/19 上午 9:10:13,奏响风暴,2025/11/19,S3開始,
2025/11/28 下午 7:25:07,淨心護甲、以守為攻、生命祝福、向量反彈,2025/12/19,S2,
2025/12/1 下午 7:06:01,淨心護甲、以守為攻、生命祝福、向量反彈,2025/12/1,古劍城,
2025/12/2 下午 6:20:59,荒島旅途,2025/12/12,S1結束,
2025/12/2 下午 11:31:05,雷電奧秘,2025/12/3,S3 開始,
2025/12/10 下午 3:19:07,雷電奧秘,2026/2/24,【副本開啟】君臨之巢,
2025/12/19 下午 1:15:33,淨心護甲、以守為攻、生命祝福、向量反彈,2025/12/19,S3 開始,
2025/12/19 下午 2:24:17,淨心護甲、以守為攻、生命祝福、向量反彈、火焰星軌、魔力湧動、不屈意志、天神怒雷,2026/1/2,【副本開啟】永恆花庭,
2025/12/19 下午 9:27:05,守護之風,2025/12/31,S1,
2025/12/27 上午 11:58:01,極樂光域,2025/12/28,s1,
2025/12/31 上午 2:54:32,狂花海岸,2026/1/31,S3開始,
2026/1/1 下午 6:39:58,戰意沸騰,2026/1/1,S2,
2026/1/2 上午 10:40:56,記憶長廊,2025/12/29,開服,
2026/1/4 上午 12:25:20,烈焰鳳凰,2026/1/1,S2開始,
2026/1/5 下午 1:29:47,山石之巔,2026/1/4,仙舟,
2026/1/6 下午 3:27:42,記憶長廊,2026/1/9,S1 開始,
2026/1/8 下午 4:01:37,魔能峽谷,2026/2/26,S4,
